site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
WKT,2006,7,7,22,3,9,2006-07-07T22:03:09Z,2006.514846,3027-01,320.87,0.26,31.3149,-97.3269,373,251,122,C,219445,H4,2006-07-13 20:39:00,.S.
WKT,2006,7,7,22,19,12,2006-07-07T22:19:12Z,2006.514877,3027-02,321.43,0.26,31.3149,-97.3269,373,251,122,C,219446,H4,2006-07-13 20:54:00,.S.
WKT,2006,7,7,22,33,12,2006-07-07T22:33:12Z,2006.514903,3027-03,321.22,0.26,31.3149,-97.3269,373,251,122,C,219447,H4,2006-07-13 21:09:00,.S.
WKT,2006,7,7,22,53,42,2006-07-07T22:53:42Z,2006.514942,3027-04,321.13,0.26,31.3149,-97.3269,373,251,122,C,219448,H4,2006-07-13 21:23:00,.S.
WKT,2006,7,7,23,9,12,2006-07-07T23:09:12Z,2006.514972,3027-05,321.5,0.26,31.3149,-97.3269,373,251,122,C,219449,H4,2006-07-13 21:38:00,.S.
WKT,2006,7,8,14,19,7,2006-07-08T14:19:07Z,2006.516703,3027-06,322.66,0.26,31.3149,-97.3269,373,251,122,C,219450,H4,2006-07-13 21:53:00,.S.
WKT,2006,7,8,14,39,7,2006-07-08T14:39:07Z,2006.516741,3027-07,322.91,0.26,31.3149,-97.3269,373,251,122,C,219451,H4,2006-07-13 22:08:00,.S.
WKT,2006,7,8,14,54,8,2006-07-08T14:54:08Z,2006.51677,3027-08,322.42,0.26,31.3149,-97.3269,373,251,122,C,219452,H4,2006-07-13 22:23:00,.S.
WKT,2006,7,8,16,4,10,2006-07-08T16:04:10Z,2006.516903,3027-09,322.37,0.26,31.3149,-97.3269,373,251,122,C,219453,H4,2006-07-13 22:38:00,.S.
WKT,2006,7,8,16,34,10,2006-07-08T16:34:10Z,2006.51696,3027-10,322.36,0.26,31.3149,-97.3269,373,251,122,C,219454,H4,2006-07-13 22:52:00,.S.
WKT,2006,7,8,16,54,11,2006-07-08T16:54:11Z,2006.516998,3027-11,322.12,0.26,31.3149,-97.3269,373,251,122,C,219455,H4,2006-07-13 23:07:00,.S.
